questionNo,question,Answer
42,Kevin completed ½ of an assignment at school. When he was home that evening he completed ⅚ of another assignment. How many assignments did Kevin complete?,8/6
43,Packing school lunches for her kids Patty used ⅞ of a package of ham. She also used ½ of a package of turkey. How much more ham than turkey did Patty use?,3/8
44,During gym class on Wednesday the students ran for ¼ of a kilometre. On Thursday they ran ½ as many kilometres as on Wednesday. How many kilometres did the students run on Thursday? Write your answer as a fraction.,1/8
45,A clothing manufacturer uses ⅕ of a bottle of colour dye to make one pair of pants. The manufacturer used ⅘ of a bottle yesterday. How many pairs of pants did the manufacturer make?,1/4
46,Mark drank ⅚ of a carton of milk this week. Frank drank 7 times more milk than Mark. How many cartons of milk did Frank drink? Write your answer as a fraction or as a whole or mixed number.,35/6
47,You have 2.6 grams of yogurt in your bowl and you add another spoonful of 1.3 grams. How much yogurt do you have in total?,3.9
48,Gemma had 25.75 grams of frosting to make a cake. She decided to use only 15.5 grams of the frosting. How much frosting does Gemma have left?,10.25
49,Marshall walks a total of 0.9 kilometres to and from school each day. After 4 days how many kilometres will he have walked?,3.6
50,To make the Leaning Tower of Pisa from spaghetti Mrs. Robinson bought 2.5 kilograms of spaghetti. Her students were able to make 10 leaning towers in total. How many kilograms of spaghetti does it take to make 1 leaning tower?,0.25
51,Rocco has 1.5 litres of orange soda and 2.25 litres of grape soda in his fridge. Antonio has 1.15 litres of orange soda and 0.62 litres of grape soda. How much more soda does Rocco have than Angelo?,1.98
52,4 days a week Laura practices martial arts for 1.5 hours. Considering a week is 7 days what is her average practice time per day each week?,0.86
53,Natalie began at 5. She skip-counted by fives. Could she have said the number 20?,yes
54,Each month Jeremy adds the same number of cards to his baseball card collection. In January he had 36. 48 in February. 60 in March. How many baseball cards will Jeremy have in April?,72
55,Micha’s dad wants to try to save money on gas so he has been tracking how much he uses. Over the past two years Micha’s dad used 200 litres of gas. This year he used 100 litres of gas. How much gas did he use last year?,100
56,Mary surveyed students in her school to find out what their favourite sports were. Out of 1200 students 455 said hockey was their favourite sport. What percentage of students said hockey was their favourite sport?,37.91
57,The theatre has 4 chairs in a row. There are 5 rows. Using rows as your unit of measurement what is the perimeter?,18
58,The theatre has 4 chairs in a row. There are 5 rows. How many chairs are there in total?,20
59,Aaron wants to know how much candy his container can hold. The container is 20 centimetres tall 10 centimetres long and 10 centimetres wide. What is the container’s volume?,2000
60,Kevin draws a shape with 4 equal sides. What shape did he draw?,square
